fips,area_name,state_abbreviation,COMP,Comp_fips,dif_gop_dem,PST045214,PST120214,AGE135214,AGE295214,AGE775214,SEX255214,RHI125214,RHI225214,RHI325214,RHI425214,RHI525214,RHI625214,RHI725214,RHI825214,POP715213,POP645213,POP815213,EDU635213,EDU685213,VET605213,LFE305213,HSG445213,HSG096213,HSG495213,HSD310213,INC110213,PVY020213,BZA010213,BZA115213,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN131207,AFN120207,POP060210
1001,Autauga County,AL,SI,1001,49.47893435,55395,1.5,6,25.2,13.8,51.4,77.9,18.7,0.5,1.1,0.1,1.8,2.7,75.6,85,1.6,3.5,85.6,20.9,5922,26.2,76.8,8.3,136200,2.71,53682,12.1,817,2.1,15.2,0,1.3,0,0.7,31.7,0,0,12003,88157,91.8
1003,Baldwin County,AL,SI,1003,57.78616219,200111,9.8,5.6,22.2,18.7,51.2,87.1,9.6,0.7,0.9,0.1,1.6,4.6,83,82.1,3.6,5.5,89.1,27.7,19346,25.9,72.6,24.4,168600,2.52,50221,13.9,4871,3.7,2.7,0.4,1,0,1.3,27.3,1410273,0,17166,436955,114.6
1005,Barbour County,AL,SI,1005,5.611164581,26887,-2.1,5.7,21.2,16.5,46.6,50.2,47.6,0.6,0.5,0.2,0.9,4.5,46.6,84.8,2.9,5,73.7,13.4,2120,24.6,67.7,10.6,89200,2.66,32911,26.7,464,-5.6,0,0,0,0,0,27,0,0,6334,0,31
1007,Bibb County,AL,SI,1007,55.54412437,22506,-1.8,5.3,21,14.8,45.9,76.3,22.1,0.4,0.2,0.1,0.9,2.1,74.5,86.6,1.2,2.1,77.5,12.1,1327,27.6,79,7.3,90500,3.03,36447,18.1,275,7.5,14.9,0,0,0,0,0,0,0,5804,10757,36.8
1009,Blount County,AL,SI,1009,81.3819729,57719,0.7,6.1,23.6,17,50.5,96,1.8,0.6,0.3,0.1,1.2,8.7,87.8,88.7,4.3,7.3,77,12.1,4540,33.9,81,4.5,117100,2.7,44145,15.8,660,3.4,0,0,0,0,0,23.2,341544,0,5622,20941,88.9
1011,Bullock County,AL,SI,1011,-50.86151883,10764,-1.4,6.3,21.4,14.9,45.3,26.9,70.1,0.8,0.3,0.7,1.1,7.5,22.1,84.7,5.4,5.2,67.8,12.5,636,26.9,74.3,8.7,70600,2.73,32033,21.6,112,0,0,0,0,0,0,38.8,0,0,3995,3670,17.5
1013,Butler County,AL,SI,1013,13.52907311,20296,-3.1,6.1,23.6,18,53.6,53.9,44,0.4,0.9,0,0.8,1.2,53.1,94.6,0.8,1.7,76.3,14,1497,24,70.3,13.3,74700,2.47,29918,28.4,393,2.7,0,0,3.3,0,0,0,399132,56712,11326,28427,27
1015,Calhoun County,AL,SI,1015,41.38382303,115916,-2.3,5.7,22.2,16,51.8,75.8,21.1,0.5,0.9,0.1,1.7,3.5,72.9,83.6,2.4,4.5,78.6,16.1,11385,22.5,68.7,13.8,100600,2.54,39962,21.9,2311,0.6,7.2,0,1.6,0,0.5,24.7,2679991,0,13678,186533,195.7
1017,Chambers County,AL,SI,1017,14.8062128,34076,-0.3,5.9,21.4,18.3,52.3,58.3,39.5,0.3,0.8,0.1,1.1,2,56.8,85.8,1.1,1.3,75.1,11.8,2691,24.6,67.9,11.1,81200,2.46,32402,24.1,515,-0.2,0,0,0,0,0,29.3,667283,0,7620,23237,57.4
1019,Cherokee County,AL,SI,1019,69.36113491,26037,0.2,4.8,20.4,20.9,50.2,93,4.6,0.5,0.3,0,1.6,1.5,91.6,90.6,0.7,1.1,78.3,12.8,2174,26.9,76.1,4.6,99400,2.2,34907,21.2,379,5.5,0,0,0,0,0,14.5,307439,62293,7613,13948,46.9
